iter	Passed	Remaining
0	2	2224
1	3	1906
2	6	2267
3	8	2216
4	10	2028
5	11	1870
6	12	1758
7	13	1714
8	15	1732
9	16	1630
10	17	1544
11	17	1474
12	18	1411
13	19	1359
14	20	1316
15	20	1287
16	21	1270
17	23	1267
18	24	1250
19	24	1219
20	25	1192
21	26	1169
22	27	1152
23	28	1139
24	28	1125
25	29	1115
26	30	1100
27	31	1082
28	31	1068
29	32	1056
30	33	1044
31	34	1033
32	34	1023
33	35	1017
34	36	1012
35	37	1016
36	38	1010
37	39	1000
38	40	990
39	40	980
40	41	972
41	42	964
42	43	957
43	43	950
44	44	943
45	45	937
46	45	930
47	46	923
48	47	919
49	48	912
50	48	906
51	49	901
52	50	896
53	51	894
54	52	897
55	53	903
56	54	901
57	55	895
58	55	890
59	56	885
60	57	880
61	57	876
62	58	871
63	59	867
64	60	863
65	60	858
66	61	853
67	61	849
68	62	844
69	63	840
70	63	836
71	64	832
72	65	834
73	66	833
74	67	834
75	68	836
76	69	832
77	70	829
78	70	825
79	71	821
80	72	817
81	72	813
82	72	806
83	73	802
84	74	800
85	75	797
86	75	793
87	76	791
88	77	788
89	77	785
90	78	782
91	79	780
92	79	777
93	80	776
94	81	777
95	83	786
96	84	788
97	86	800
98	87	797
99	88	794
100	88	791
101	89	787
102	90	785
103	90	783
104	91	781
105	92	778
106	92	775
107	93	772
108	94	770
109	95	769
110	97	780
111	98	782
112	99	779
113	99	776
114	100	773
115	101	770
116	101	766
117	102	764
118	102	761
119	103	758
120	104	756
121	104	753
122	105	751
123	105	748
124	106	746
125	107	744
126	107	741
127	108	739
128	109	741
129	111	745
130	112	745
131	113	747
132	114	744
133	114	742
134	115	739
135	116	737
136	116	734
137	117	732
138	117	730
139	118	728
140	119	726
141	119	722
142	120	720
143	120	718
144	121	716
145	122	714
146	122	712
147	123	710
148	124	710
149	125	709
150	126	709
151	127	708
152	127	706
153	128	704
154	128	702
155	129	700
156	130	698
157	130	696
158	131	695
159	132	693
160	132	689
161	133	688
162	133	686
163	134	684
164	134	682
165	135	680
166	136	679
167	136	677
168	137	676
169	138	675
170	139	675
171	140	677
172	141	677
173	142	676
174	143	674
175	143	672
176	144	671
177	144	669
178	145	667
179	146	665
180	146	664
181	147	662
182	147	660
183	148	658
184	149	657
185	149	656
186	150	654
187	151	653
188	152	652
189	152	651
190	153	651
191	155	654
192	156	654
193	157	653
194	157	652
195	158	650
196	159	648
197	159	647
198	160	645
199	160	643
200	161	642
201	162	640
202	162	639
203	163	637
204	164	636
205	164	634
206	165	633
207	166	633
208	167	633
209	169	635
210	171	639
211	171	638
212	172	637
213	173	635
214	173	634
215	174	632
216	174	630
217	175	629
218	176	628
219	176	626
220	177	625
221	177	623
222	178	622
223	179	621
224	180	620
225	180	619
226	181	618
227	182	619
228	184	620
229	185	619
230	185	618
231	186	617
232	187	615
233	187	614
234	188	612
235	188	611
236	189	610
237	190	608
238	190	607
239	191	605
240	191	604
241	192	603
242	193	602
243	194	601
244	194	599
245	195	598
246	195	597
247	196	596
248	197	596
249	199	597
250	200	596
251	200	595
252	201	594
253	201	592
254	202	591
255	203	590
256	203	588
257	204	587
258	204	586
259	205	584
260	206	583
261	206	582
262	207	581
263	208	580
264	208	579
265	209	577
266	210	576
267	210	576
268	212	576
269	213	576
270	214	576
271	214	575
272	215	574
273	216	572
274	216	571
275	217	570
276	218	569
277	218	567
278	219	566
279	219	565
280	220	564
281	221	563
282	221	562
283	222	561
284	223	559
285	223	558
286	224	557
287	225	556
